"","player","nationality","position","squad","age","value","height","foot","games","minutes","goals","assists","pens_made","cards_yellow","cards_red","passes.pct","clean.sheets","popularity","p2","p1","p0","rank"
"2086","Emil Audero","it ITA","GK","Sampdoria",22,12000000,192,"0",36,3240,0,0,0,1,0,63.6,9,8.2,0,1,0,3
"2104","Karol Linetty","pl POL","MF","Sampdoria",24,11000000,176,"0",28,2019,4,3,0,4,0,77.8,0,4.25,1,0,0,3
"2116","Domenico Berardi","it ITA","FW","Sassuolo",24,19000000,183,"0",31,2493,14,10,2,6,1,73.7,0,3.35,0,0,1,2
"2117","Jeremie Boga","ci CIV","FW","Sassuolo",22,25000000,174,"0",34,2513,11,2,0,0,0,85.2,0,16.2,0,0,1,2
"2126","Hamed Junior TraorĂ¨","ci CIV","MF","Sassuolo",19,13000000,177,"1",31,1570,4,1,0,3,0,77.6,0,8.92,1,0,0,2
"2128","Manuel Locatelli","it ITA","MF","Sassuolo",21,15000000,185,"0",33,2586,0,5,0,9,0,86.6,0,2.05,1,0,0,2
"2272","Andrea Petagna","it ITA","FW","SPAL",24,14000000,190,"0",36,3032,12,1,5,5,0,73.5,0,9.63,0,0,1,3
"2308","Andrea Belotti","it ITA","FW","Torino",25,32000000,181,"0",36,3008,16,3,7,4,0,66.9,0,5.45,0,0,1,3
"2316","Armando Izzo","it ITA","DF","Torino",27,16000000,183,"0",31,2686,1,0,0,7,2,80.1,0,12.12,0,0,0,3
"2323","Nicolas Nkoulou","cm CMR","DF","Torino",29,10000000,184,"0",31,2692,1,0,0,6,1,89.6,0,9.4,0,0,0,3
"2329","Simone Verdi","it ITA","MF","Torino",27,13000000,174,"1",33,2073,2,6,0,4,0,70.7,0,4.6,1,0,0,3
"2392","Rodrigo De Paul","ar ARG","MF","Udinese",25,20000000,180,"0",34,2822,7,6,0,5,1,74.7,0,8.6,1,0,0,3
"2396","Rolando Mandragora","it ITA","MF","Udinese",22,12000000,183,"0",26,2050,0,2,0,2,0,81,0,7.33,1,0,0,3
"2397","Juan Musso","ar ARG","GK","Udinese",25,12000000,191,"0",38,3420,0,0,0,1,0,74.9,14,12.53,0,1,0,3
